,-0..10
-10.89,-1.10
-11.03,-1.10
-11.26,-1.10
-11.29,-1.10
-11.51,-1.10
-11.46,-1.10
-11.20,-1.10
-10.77,-1.10
-10.66-1.10
-10.71,-0.55
-10.94,-1.10
-11.09,-0.55
-10.80,-1.10
-10.74,-1.10
-10.71,-0.55
-10.91,-0.55
-10.54,-1.65
-10.74,-1.10
-10.71,-1.10
-10.71,-1.10
-10.69,-1.10
-10.34,-1.10
-10.69,-1.10
-10.57,-1.10
-10.77,-1.65
-10.54,-0.55
-10.54,-1.10
-10.43,-0.55
-10.71,-0.55
-10.17,-1.10
-10.54,-1.10
-10.20,-0.55
-10.34,-1.10
-10.03,-1.10
-9.66,-0.55
-9.97,-1.10
-10.54,-1.65
-10.11,-1.10
-10.26,-1.65
-9.43,-1.10
-8.83,-1.10
-9.51,-1.10
-9.51,-1.10
-8.74,-1.10
-7.89,-1.10
-7.83,-1.10
-7.29,-1.10
-6.11,-1.10
-5.94,-1.10
-2.89,0.00
11.29,1.65
17.43,1.65
17.37,1.65
16.66,1.10
16.63,1.10
16.29,1.10
16.29,1.10
16.54,1.10
16.20,1.10
16.51,1.10
16.51,1.10
16.91,1.10
16.06,1.10
16.54,1.10
16.29,1.10
16.23,1.10
15.83,1.10
16.71,1.10
16.03,1.10
15.63,1.10
16.03,1.65
16.40,1.10
16.06,1.65
16.49,1.65
16.31,1.10
15.89,1.65
15.57,1.65
15.60,1.10
15.91,1.65
15.71,1.10
16.11,1.65
16.00,1.10
16.14,1.65
15.97,1.10
15.17,1.10
15.09,1.10
15.77,1.65
15.17,1.10
15.26,1.65
14.71,1.65
15.06,1.10
15.31,1.65
14.63,1.10
15.17,1.65
14.91,1.10
14.17,1.10
14.69,1.65
14.83,1.65
14.80,1.65
15.26,1.10
15.09,1.65
15.17,1.65
15.06,1.10
14.69,1.10
14.66,1.10
14.03,1.65
14.11,2.19
13.80,1.65
13.00,1.65
12.57,1.65
11.83,2.19
11.17,2.19
11.26,2.19
12.54,2.19
11.89,2.19
11.69,2.19
9.49,3.29
10.89,2.74
10.06,2.74
9.43,3.84
8.40,3.84
5.03,3.29
0.43,3.29
-16.57,0.55
-14.63,0.00
-13.31,0.00
-12.29,-0.55
-11.57,-1.10
-11.60,-0.55
-11.09,-1.10
-10.91,-1.10
-10.97,-1.10
-10.80,-0.55
-10.37,-1.10
-10.46,-0.55
-10.37,-1.10
-10.34,-1.10
-10.51,-1.10
-10.31,-1.10
-10.06,-1.10
-10.40,-1.10
-10.34,-0.55
-10.17,-0.55
-10.29,-1.10
-10.03,-0.55
-10.23,-0.55
-10.11,-0.55
-10.06,-1.65
-10.26,-1.10
-9.80,-1.65
-9.77,-1.10
-10.03,-1.65
-10.14,-1.10
-10.00,-1.10
-9.94,-1.10
-10.14,-1.10
-10.09,-1.10
-10.03,-1.10
-9.97,-1.10
-10.31,-1.10
-10.23,-0.55
-9.89,-0.55
