,1.10.97
27.00,9.87
23.20,10.97
26.43,9.32
24.17,9.32
22.71,9.32
22.34,8.78
21.06,914.81
32.66,12.07
30.29,13.16
26.89,12.07
28.71,10.97
27.00,9.87
23.20,10.97
26.43,9.32
24.17,9.32
22.71,9.32
22.34,8.78
21.06,9.4.81
32.66,12.07
30.29,13.16
26.89,12.07
28.71,10.97
27.00,9.87
23.20,10.97
26.43,9.32
24.17,9.32
22.71,9.32
22.34,8.78
21.06,9.?R20.94,9.87
19.54,9.32
19.26,10.42
20.09,9.32
20.51,8.78
18.83,10.42
18.83,8.78
17.31,10.42
17.83,9.87
17.57,12.07
17.63,10.42
15.06,10.97
16.71,10.97
16.80,12.07
16.91,9.87
15.91,9.87
12.80,10.42
14.34,10.97
15.23,10.42
14.03,9.87
13.80,10.97
12.54,11.52
13.46,11.52
14.11,9.32
11.46,10.42
9.86,10.42
7.97,11.52
10.26,9.87
9.00,9.87
5.51,9.87
-14.46,14.26
-33.20,18.65
-33.06,17.55
-31.86,18.65
-31.46,20.84
-31.57,19.75
-31.17,19.20
-30.83,19.75
-30.86,20.29
-31.09,19.20
-30.71,20.29
-30.43,22.49
-29.83,22.49
-30.54,21.94
-29.94,20.84
-29.77,22.49
-29.06,20.84
-29.51,20.29
-28.77,21.94
-29.17,20.84
-28.83,20.29
-28.80,21.94
-28.57,20.29
-28.00,21.94
-26.14,23.59
-26.57,23.59
-25.71,21.94
-24.20,21.39
17.00,14.26
25.94,12.62
22.91,12.62
21.46,12.07
20.20,11.52
21.80,11.52
20.37,12.62
20.63,12.07
18.71,12.07
18.83,12.07
17.60,11.52
18.17,12.07
17.74,11.52
16.91,11.52
16.69,12.07
16.54,12.07
14.40,10.42
14.86,12.07
15.66,10.42
16.40,11.52
15.63,10.42
14.34,10.97
14.83,11.52
13.77,10.42
14.63,10.42
14.74,10.42
13.86,12.07
11.66,10.42
12.94,12.62
11.14,10.42
11.69,10.42
10.03,11.52
10.80,10.97
10.17,11.52
10.46,10.42
6.29,11.52
5.80,10.42
9.00,10.97
8.31,10.42
6.40,10.42
-4.69,11.52
-30.20,19.75
-29.86,17.55
-30.69,18.10
-29.17,18.65
-29.03,19.20
-29.11,19.20
-28.97,18.65
-28.37,20.84
-28.91,19.75
-28.97,19.20
-28.49,18.65
-28.80,20.29
-29.00,20.29
-29.83,21.39
-29.11,20.84
-30.60,20.29
-28.51,19.75
-27.80,21.39
-28.34,20.84
-27.51,21.39
-28.20,20.84
-27.89,21.94
-27.74,22.49
-27.54,22.49
-23.60,20.84
-18.11,23.04
27.00,14.81
21.14,12.07
20.66,12.07
21.69,10.97
21.26,12.07
19.20,12.07
19.31,10.97
20.46,11.52
19.37,10.97
16.43,12.07
16.03,10.42
17.57,10.97
16.60,10.97
16.31,12.07
16.63,11.52
15.71,10.97
16.34,10.97
16.37,10.97
16.74,12.62
15.49,9.87
15.74,10.42
15.49,10.97
12.57,12.07
13.03,10.42
14.69,10.42
10.94,11.52
12.89,10.97
12.77,10.97
13.17,10.97
12.29,12.07
12.91,10.42
12.86,12.07
13.34,9.87
11.69,9.87
10.51,12.07
10.34,10.42
9.86,12.07
10.74,10.42
4.71,10.97
7.31,10.97
10.03,9.32
7.63,10.42
8.20,10.42
1.77,9.32
-33.66,20.29
-33.26,17.55
-31.54,20.84
-32.43,19.20
-31.97,20.84
-32.37,19.75
-31.29,20.84
-31.94,22.49
-32.00,20.29
-31.37,20.29
-32.14,20.84
-32.34,23.04
-32.06,22.49
-32.20,24.13
-32.17,20.84
-31.83,20.29
-31.86,21.94
-31.40,21.94
-31.11,21.39
-30.66,20.84
-29.49,23.04
-29.69,24.13
-28.91,24.13
-29.63,24.13
-27.77,25.78
-28.94,23.59
-22.31,24.68
-22.86,20.84
-17.89,19.20
23.57,13.71
28.71,10.97
24.91,12.07
25.51,12.62
22.49,11.52
20.11,12.07
21.66,10.42
21.86,12.07
19.94,10.42
21.40,9.87
20.43,11.52
18.77,10.42
17.17,11.52
17.69,11.52
17.00,10.42
18.37,10.97
17.34,11.52
16.40,9.87
17.06,12.07
14.66,12.07
15.23,10.97
15.80,10.97
15.29,8.78
15.37,10.97
15.60,10.42
16.11,10.97
13.77,11.52
10.97,11.52
15.34,9.87
13.97,10.42
13.17,10.97
11.43,10.42
13.31,10.97
13.09,9.32
11.86,9.32
7.71,9.87
11.09,9.87
9.20,10.97
6.66,8.78
10.37,10.97
6.34,11.52
-33.60,20.29
-33.63,19.20
-32.60,20.29
-32.60,19.75
-32.94,18.65
-32.37,20.84
-32.37,22.49
-32.83,20.29
-31.86,20.84
-32.06,21.94
-32.26,21.94
-32.20,20.29
-32.26,21.94
-31.54,22.49
-31.63,20.29
-31.54,21.94
-31.29,24.13
-30.89,22.49
-32.37,21.39
-30.66,23.04
-31.03,23.04
-30.23,23.59
-28.89,25.23
-29.89,23.59
-28.34,26.33
-26.46,23.04
-21.60,25.78
-18.66,24.68
29.97,14.26
26.23,12.62
26.06,12.62
26.51,12.62
23.46,11.52
24.20,11.52
23.97,10.97
22.63,10.97
21.14,11.52
20.69,10.42
20.00,10.42
20.86,10.42
19.71,12.62
18.20,10.97
17.37,9.87
16.26,10.97
17.34,9.87
16.86,10.42
16.63,11.52
15.46,12.07
17.80,9.87
17.43,10.42
14.40,10.42
16.66,10.97
14.94,9.32
14.14,8.78
15.66,10.42
14.49,12.07
14.94,10.97
12.06,9.87
15.03,10.97
13.60,9.87
14.94,9.32
12.94,10.42
7.37,10.42
11.06,11.52
11.94,10.42
11.29,9.32
9.89,9.32
7.77,9.87
7.60,9.87
9.26,8.78
1.86,11.52
-35.46,21.94
-34.43,18.65
-34.83,19.75
-34.97,20.29
-34.43,21.39
-34.14,20.84
-34.80,21.94
-34.40,20.84
-34.34,20.84
-34.23,20.29
-33.66,21.94
-33.89,23.04
-33.89,23.59
-33.29,25.23
-33.06,24.68
-33.20,23.59
-33.20,23.04
-33.63,22.49
-32.03,25.23
-31.69,24.13
-31.77,24.13
-32.20,26.88
-31.97,25.23
-31.09,25.78
-27.69,25.78
-29.06,26.88
-27.26,23.59
-25.74,24.68
37.37,10.42
30.71,12.62
24.77,12.62
25.00,11.52
25.14,12.07
24.89,12.07
21.40,10.42
23.63,11.52
23.43,10.97
19.09,9.87
22.51,10.42
20.03,9.32
18.66,10.42
18.31,10.42
17.63,12.07
16.91,10.42
17.97,10.42
17.71,11.52
16.46,9.87
18.86,10.97
15.83,9.87
16.29,11.52
14.89,9.32
16.69,10.42
15.97,10.97
15.80,9.87
17.11,9.87
14.46,9.87
14.46,10.42
15.57,10.97
13.26,10.97
14.11,9.32
14.34,9.87
10.31,9.32
14.00,9.87
12.71,9.87
8.57,11.52
13.09,10.97
13.03,9.87
7.54,9.87
13.11,9.32
9.51,12.07
7.37,8.78
7.91,10.97
5.86,13.16
9.66,9.87
9.26,9.87
4.89,14.81
-35.74,19.75
-34.97,18.10
-34.46,20.84
-34.63,20.84
-34.34,22.49
-33.69,20.84
-33.54,20.29
-34.37,19.20
-34.29,20.29
-33.43,23.04
-33.54,21.39
-33.94,23.04
-33.34,21.39
-33.14,21.94
-33.23,21.39
-32.63,21.39
-33.17,22.49
-32.80,23.04
-32.00,23.59
