
,2.19
23.17,2.74
23.26,2.74
22.69,2.19
22.54,2.74
22.03,2.74
22.29,2.19
22.49,2.19
23.03,2.74
22.54,2.74
22.439
22.60,2.74
22.71,2.19
23.17,2.74
23.26,2.74
22.69,2.19
22.54,2.74
22.03,2.74
22.29,2.19
22.49,2.19
23.03,2.74
22.54,2.74
22.43Ir??R22.20,2.74
22.66,2.74
22.51,2.74
22.54,3.29
22.31,2.74
22.09,2.74
21.34,3.29
21.46,2.74
21.11,2.74
21.43,2.74
21.80,3.29
22.00,3.29
21.46,3.29
22.20,3.29
21.43,2.74
22.46,2.74
22.14,2.74
21.74,2.19
21.91,3.29
21.34,3.29
20.51,3.84
19.66,3.84
18.54,4.94
19.83,3.84
19.09,4.39
19.20,3.29
16.40,4.94
15.06,5.48
15.60,7.13
-30.17,1.10
-21.54,0.55
-18.63,-1.10
-17.06,-1.65
-16.71,-1.10
-16.06,-2.19
-15.69,-1.65
-15.43,-1.65
-15.91,-2.19
-14.91,-1.65
-15.06,-1.65
-15.14,-1.10
-15.46,-1.65
-15.37,-2.19
-15.57,-2.19
-15.11,-1.65
-15.17,-2.19
-14.94,-1.65
-15.51,-2.19
-15.11,-2.19
-15.17,-1.65
-15.20,-1.65
-15.40,-1.65
-15.06,-1.65
-14.66,-1.65
-14.94,-1.10
-15.31,-1.65
-14.91,-1.65
-14.94,-2.19
-14.97,-2.19
-15.40,-2.19
-15.11,-2.19
-15.23,-1.65
-15.46,-2.19
-14.80,-2.19
-14.86,-1.65
-15.46,-1.10
-15.29,-2.19
-15.26,-2.19
-14.97,-2.74
-14.91,-1.65
-15.23,-1.65
-14.94,-1.65
-15.11,-2.74
-15.14,-1.65
-15.11,-2.19
-15.54,-2.19
-15.11,-2.19
-14.94,-2.19
-15.11,-2.19
-15.14,-2.19
-15.37,-2.19
-14.89,-1.65
-15.11,-1.65
-15.20,-2.19
-14.91,-1.65
-14.74,-1.65
-15.00,-2.19
-14.89,-2.74
-15.03,-2.19
-14.14,-2.19
-14.63,-2.19
-13.91,-2.19
-13.29,-2.19
-12.14,-2.74
-10.31,-1.10
-8.37,-1.65
-10.40,-2.19
-8.83,-1.65
-7.11,-1.65
-7.43,-1.10
-2.77,-1.10
6.71,0.55
24.69,2.74
23.43,2.74
23.17,2.74
23.37,2.19
23.66,2.74
23.83,3.29
23.46,2.74
23.17,2.74
